radio,I felt out of my body.,q1,2
radio,I felt as if my (real) body were drifting toward the virtual body or as if the virtual body were drifting toward my (real) body.,q2,2
radio,I felt as if the movements of the virtual body were influencing my own movements.,q3,3
radio,It felt as if my (real) body were turning into an 'avatar' body.,q4,2
radio,It felt as if my real body was starting to take on the posture or shape of the virtual body that I saw.,q5,3
radio,I felt like I was wearing different clothes from when I came to the laboratory.,q6,3
radio,I felt as if my body was stronger.,q7,4
radio,I felt a realistic sensation in my body when I broke the stones.,q8,1
radio,I felt that my own body could have been affected by the virtual world.,q9,3
radio,I felt as if the virtual body was my body.,q10,2
radio,It felt that the virtual body resembled my own (real) body in terms of shape/skin tone/other visual features.,q11,2
radio,I felt as if my body was located where I saw the virtual body,q12,3
radio,I felt like I could control the virtual body as if it was my own body.,q13,3
radio,It seemed as if I felt the touch of the stones in the location where I saw the virtual hands touched.,q14,2
radio,It seemed as if the touch I felt was caused by the stones touching the virtual hands.,q15,2
radio,It seemed as if my feet were touching the virtual floor.,q16,5

